id,lat,lon,demand,nearest_depot_hint
S0000,55.328283,61.525678,56,Полигон Север
S0001,55.247601,61.413807,64,Полигон Север
S0002,55.355027,61.443695,357,Полигон Север
S0003,55.366434,61.441826,61,Полигон Север
S0004,55.192938,61.360416,165,Полигон Север
S0005,55.231869,61.528697,58,Полигон Север
S0006,55.31767,61.43306,174,Полигон Север
S0007,55.291025,61.481249,125,Полигон Север
S0008,55.308992,61.528075,91,Полигон Север
S0009,55.258817,61.524653,97,Полигон Север
S0010,55.362764,61.546539,67,Полигон Север
S0011,55.356668,61.470151,130,Полигон Север
S0012,55.313962,61.43767,76,Полигон Север
S0013,55.377634,61.472028,48,Полигон Север
S0014,55.338051,61.311267,46,Полигон Север
S0015,55.258442,61.335289,110,Полигон Север
S0016,55.332125,61.34773,257,Полигон Север
S0017,55.252467,61.380275,110,Полигон Север
S0018,55.362707,61.519977,93,Полигон Север
S0019,55.307004,61.389452,118,Полигон Север
S0020,55.298908,61.442184,218,Полигон Север
S0021,55.269144,61.609923,113,Полигон Север
S0022,55.383352,61.444374,78,Полигон Север
S0023,55.300728,61.553752,193,Полигон Север
S0024,55.2843,61.386638,129,Полигон Север
S0025,55.288872,61.459456,250,Полигон Север
S0026,55.341939,61.384998,111,Полигон Север
S0027,55.331927,61.446097,48,Полигон Север
S0028,55.334764,61.564031,44,Полигон Север
S0029,55.335849,61.307268,268,Полигон Север
S0030,55.438499,61.523442,280,Полигон Север
S0031,55.285615,61.503774,89,Полигон Север
S0032,55.279265,61.420585,79,Полигон Север
S0033,55.261174,61.335394,239,Полигон Север
S0034,55.346959,61.487213,51,Полигон Север
S0035,55.377738,61.427051,58,Полигон Север
S0036,55.303163,61.503268,146,Полигон Север
S0037,55.259591,61.482185,79,Полигон Север
S0038,55.260531,61.640178,99,Полигон Север
S0039,55.349036,61.456064,90,Полигон Север
S0040,55.354595,61.37765,122,Полигон Север
S0041,55.342589,61.497928,231,Полигон Север
S0042,55.270069,61.502,105,Полигон Север
S0043,55.32393,61.615919,146,Полигон Север
S0044,55.317001,61.563511,29,Полигон Север
S0045,55.323121,61.515687,97,Полигон Север
S0046,55.362286,61.62633,60,Полигон Север
S0047,55.323416,61.361124,48,Полигон Север
S0048,55.350735,61.416025,59,Полигон Север
S0049,55.314055,61.387342,81,Полигон Север
S0050,55.327347,61.441019,172,Полигон Север
S0051,55.347877,61.342331,45,Полигон Север
S0052,55.222571,61.543515,101,Полигон Север
S0053,55.29082,61.457778,74,Полигон Север
S0054,55.281778,61.332919,82,Полигон Север
S0055,55.271667,61.378442,182,Полигон Север
S0056,55.293491,61.511351,137,Полигон Север
S0057,55.399696,61.563813,222,Полигон Север
S0058,55.25805,61.679673,91,Полигон Север
S0059,55.368097,61.771386,66,Полигон Север
S0060,55.209028,61.521441,87,Полигон Север
S0061,55.289907,61.381046,115,Полигон Север
S0062,55.319765,61.266795,111,Полигон Север
S0063,55.345173,61.506771,52,Полигон Север
S0064,55.352674,61.398706,105,Полигон Север
S0065,55.357601,61.438464,114,Полигон Север
S0066,55.289076,61.41879,451,Полигон Север
S0067,55.282259,61.465921,307,Полигон Север
S0068,55.361479,61.586598,60,Полигон Север
S0069,55.298522,61.495705,84,Полигон Север
S0070,55.233459,61.464137,41,Полигон Север
S0071,55.242003,61.376435,70,Полигон Север
S0072,55.254833,61.312532,120,Полигон Север
S0073,55.33983,61.431369,205,Полигон Север
S0074,55.318546,61.474622,64,Полигон Север
S0075,55.351429,61.656793,67,Полигон Север
S0076,55.284365,61.493027,27,Полигон Север
S0077,55.319512,61.578274,90,Полигон Север
S0078,55.347535,61.43007,53,Полигон Север
S0079,55.291439,61.361506,72,Полигон Север
S0080,54.997388,61.398235,89,Полигон Юг
S0081,55.044344,61.300935,112,Полигон Юг
S0082,54.944536,61.437125,163,Полигон Юг
S0083,54.961977,61.395087,79,Полигон Юг
S0084,55.177755,61.502065,136,Полигон Юг
S0085,54.972755,61.393077,85,Полигон Юг
S0086,54.984193,61.162796,93,Полигон Юг
S0087,55.160215,61.313305,164,Полигон Юг
S0088,55.224304,61.202799,30,Полигон Юг
S0089,54.979706,61.268172,46,Полигон Юг
S0090,55.027905,61.471123,41,Полигон Юг
S0091,55.070493,61.383753,25,Полигон Юг
S0092,55.153722,61.250107,66,Полигон Юг
S0093,54.990789,61.218628,156,Полигон Юг
S0094,55.035283,61.323278,84,Полигон Юг
S0095,55.09664,61.198344,112,Полигон Юг
S0096,55.076086,61.252886,191,Полигон Юг
S0097,55.027431,61.351201,221,Полигон Юг
S0098,55.041971,61.435531,95,Полигон Юг
S0099,54.967506,61.380876,224,Полигон Юг
S0100,55.03571,61.090871,105,Полигон Юг
S0101,55.034017,61.350437,60,Полигон Юг
S0102,55.06393,61.327203,70,Полигон Юг
S0103,55.01668,61.361389,41,Полигон Юг
S0104,55.078292,61.481621,58,Полигон Юг
S0105,55.110763,61.113676,80,Полигон Юг
S0106,55.059326,61.26089,161,Полигон Юг
S0107,55.071105,61.379091,279,Полигон Юг
S0108,55.053189,61.161841,43,Полигон Юг
S0109,55.050005,61.467595,126,Полигон Юг
S0110,55.006707,61.356836,53,Полигон Юг
S0111,55.06899,61.404658,132,Полигон Юг
S0112,55.044163,61.262906,92,Полигон Юг
S0113,55.17559,61.401376,33,Полигон Юг
S0114,55.144401,61.426847,174,Полигон Юг
S0115,55.073151,61.343288,69,Полигон Юг
S0116,55.004217,61.34344,72,Полигон Юг
S0117,54.983255,61.347034,52,Полигон Юг
S0118,55.121469,61.233665,67,Полигон Юг
S0119,55.065765,61.305247,129,Полигон Юг
S0120,55.078809,61.304748,89,Полигон Юг
S0121,54.945325,61.358339,121,Полигон Юг
S0122,55.105646,61.419982,124,Полигон Юг
S0123,55.077265,61.214146,220,Полигон Юг
S0124,54.983374,61.307499,81,Полигон Юг
S0125,55.021709,61.468146,41,Полигон Юг
S0126,55.065823,61.245641,189,Полигон Юг
S0127,55.053148,61.237775,82,Полигон Юг
